"Plot","Entry","Name","Rep","Row","Column","Expt","Location","Year","Planting.Date","DTE","DTF","DTS","DTM","Plot.Biomass","Straw.Biomass","Seed.Mass","Plants.Harvested","SP.Plant.Mass","SP.Seed.Mass","SP.Straw.Mass","Plant.Length","Canopy.Height","Nodes.At.Flower","Node.Of.Flower","Lowest.Pod.Height"
"6107",314,"PI 533688 LSP AGL","1",1,7,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,61,82,818.2,NA,NA,48,24.77,7.39,17.38,36.5,23.5,13,10,11.5
"6108",164,"PI 290716 LSP AGL","1",1,8,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,60,79,810.8,NA,NA,40,22.0066666666667,12.03,9.97666666666667,34,22.5,13,11,13
"6110",245,"PI 431633 LSP AGL","1",1,10,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,45,64,80,701.3,424.92,276.38,42,15.8966666666667,6.32,9.57666666666667,31.5,21,14.5,10,9.5
"6111",274,"PI 432033 LSP AGL","1",1,11,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,59,78,808.7,540.78,267.92,49,10.64,3.76,6.88,34.5,16.5,14.5,10,12.5
"6112",277,"PI 432124 LSP AGL","1",1,12,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,42,56,77,804,407.96,396.04,53,13.28,5.2,8.08,28.5,17.5,13,8.5,8
"6113",144,"PI 193548 LSP AGL","1",1,13,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,11,39,56,73,NA,NA,235.16,NA,13.325,5.88,7.445,26,16.5,15,12,5.5
"6114",49,"IG 4258 AGL","1",1,14,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,42,56,73,565.9,328.04,237.86,43,11.9566666666667,4.49666666666667,7.46,29.5,15,14.5,11,9
"6115",323,"W6 27766 LSP AGL","1",1,15,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,58,76,702.4,446.95,255.45,53,11.5566666666667,5.01666666666667,6.54,33,19.5,15,12.5,10
"6117",33,"CN 105791 AGL","1",1,17,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,38,60,82,439.4,331.03,108.37,39,20.45,5.45,15,32.5,14,14,11,8.5
"6118",254,"PI 431714 LSP AGL","1",1,18,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,45,58,78,837,480.97,356.03,53,14.84,5.12333333333333,9.71666666666667,32,19.5,12.5,9,11
"6120",53,"ILL 10748 AGL","1",2,17,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,45,61,82,802.7,495.8,306.9,52,23.2366666666667,7.86,15.3766666666667,32.5,19.5,17,12.5,11.5
"6121",197,"PI 300250 LSP AGL","1",2,16,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,60,79,796.5,548.5,248,46,30.0133333333333,9.66,20.3533333333333,30.5,15,10.5,7,9.5
"6122",152,"PI 217949 LSP AGL","1",2,15,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,11,39,56,75,584.6,390.59,194.01,42,37.2033333333333,11.2333333333333,25.97,30,16.5,13,10,6.5
"6123",5,"CDC Cherie AGL","1",2,14,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,48,63,82,1242.1,624.67,617.43,52,18.0333333333333,8.30666666666667,9.72666666666667,41.5,31,14.5,13,10.5
"6124",246,"PI 431636 LSP AGL","1",2,13,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,58,78,807,475.06,331.94,50,31.3866666666667,10.6366666666667,20.75,35,15,13.5,10.5,9.5
"6128",259,"PI 431753 LSP AGL","1",2,9,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,45,57,75,872.9,501.15,371.75,54,21.8433333333333,6.60333333333333,15.24,30,18.5,15.5,12,8
"6129",180,"PI 298922 LSP AGL","1",2,8,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,61,82,869.1,501.97,367.13,45,18.86,6.99666666666667,11.8633333333333,29,20.5,13.5,9.5,10
"6130",46,"IG 1046 AGL","1",2,7,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,58,78,855.8,536.67,319.13,37,15.53,6.1,9.43,34,15,13,9,8
"6131",316,"PI 612875 AGL","1",2,6,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,39,56,73,596.1,360.87,235.23,48,18.5666666666667,6.93666666666667,11.63,25.5,13,12,10.5,5.5
"6132",113,"ILL 8009 AGL","1",2,5,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,37,56,73,595.9,375.98,219.92,53,14.0566666666667,4.61,9.44666666666667,31,12,13,10.5,4.5
"6133",257,"PI 431731 LSP AGL","1",2,4,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,8,44,58,75,723.24898,415.81898,307.43,55,17.92,7.06333333333333,10.8566666666667,28,14.5,13,10,8.5
"6135",190,"PI 299237 LSP AGL","1",2,2,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,8,45,58,79,845,485.32,359.68,61,31.9533333333333,12.37,19.5833333333333,35.5,19.5,15.5,12,8.5
"6136",132,"PI 175754 LSP AGL","1",2,1,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,8,43,57,75,723.8,560.64,163.16,53,20.5466666666667,3.83333333333333,16.7133333333333,34,15.5,14,10.5,7.5
"6137",123,"ILL 9977 AGL","1",3,1,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,38,56,73,NA,NA,188.52,48,8.64,2.35666666666667,6.28333333333333,32.5,11.5,12,10,7.5
"6139",243,"PI 431622 LSP AGL","1",3,3,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,45,58,78,732.8,536.41,196.39,48,20.6,6.14333333333333,14.4566666666667,34.5,15,14.5,10,10.5
"6140",112,"ILL 8007 AGL","1",3,4,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,37,56,73,466.8,294.34,172.46,52,7.86666666666667,2.05666666666667,5.81,26.5,15.5,12,8.5,5.5
"6142",150,"PI 212100 LSP AGL","1",3,6,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,44,59,76,1004.1,571.84,432.26,34,23.5833333333333,9.49333333333333,14.09,35.5,19,14.5,9.5,14.5
"6143",270,"PI 432001 LSP AGL","1",3,7,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,44,59,79,759.2,535.23,223.97,36,27.6833333333333,9.58666666666667,18.0966666666667,35.5,19,13.5,10,10.5
"6144",183,"PI 299120 LSP AGL","1",3,8,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,44,58,78,781.8,395.66,386.14,45,26.835,10.36,16.475,32.5,20,14.5,11.5,11
"6145",52,"ILL 10657 AGL","1",3,9,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,57,73,620.7,NA,NA,48,16.85,7.94,8.91,25,14.5,15.5,11.5,5.5
"6146",167,"PI 297754 LSP AGL","1",3,10,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,46,58,80,933.4,523.8,409.6,49,29.97,9.38,20.59,36,21.5,14.5,10.5,10.5
"6147",194,"PI 299351 LSP AGL","1",3,11,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,46,57,82,780.7,506.56,274.14,43,28.59,12.8266666666667,15.7633333333333,32.5,16.5,11.5,9,7
"6148",285,"PI 432236 LSP AGL","1",3,12,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,58,75,636.9,438.52,198.38,40,22.3333333333333,7.07666666666667,15.2566666666667,30.5,15.5,16.5,13.5,7.5
"6150",104,"ILL 7558 AGL","1",3,14,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,60,79,845.5,NA,NA,52,20.695,10.755,9.94,31,16.5,17,12,9
"6151",76,"ILL 4400 AGL","1",3,15,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,46,61,80,946.3,514.63,431.67,59,16.7033333333333,6.64666666666667,10.0566666666667,32.5,17.5,12.5,9.5,8.5
"6153",96,"ILL 6002 AGL","1",3,17,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,61,82,1031.5,558.89,472.61,52,25.5033333333333,10.22,15.2833333333333,38.5,26.5,16,11.5,10
"6154",294,"PI 472136 LSP AGL","1",3,18,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,41,56,75,527.8,352.44,175.36,44,13.1866666666667,3.77,9.41666666666667,29.5,11.5,13,10.5,5.5
"6155",27,"CN 105605 AGL","1",4,18,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,40,57,73,636.9,359.75,277.15,50,23.3233333333333,8.68,14.6433333333333,31.5,15,13.5,10,11
"6156",237,"PI 426202 LSP AGL","1",4,17,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,59,82,690.5,399.73,290.77,48,20.68,7.11666666666667,13.5633333333333,39.5,18,14.5,11,14.5
"6157",134,"PI 178939 LSP AGL","1",4,16,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,63,82,959.2,584.41,374.79,50,24.11,8.32666666666667,15.7833333333333,46.5,30.5,13.5,10,12.5
"6158",101,"ILL 6821 AGL","1",4,15,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,43,58,77,655,NA,NA,26,13.12,8.27,4.85,41.5,17.5,16,11,8.5
"6159",286,"PI 432245 LSP AGL","1",4,14,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,42,57,75,650.3,402.16,248.14,47,21.25,7.33,13.92,26.5,14,13.5,9.5,7.5
"6160",261,"PI 431809 LSP AGL","1",4,13,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,42,59,77,918.1,515.39,402.71,41,24.2633333333333,6.54333333333333,17.72,30,17,13.5,9,8.5
"6161",214,"PI 339266 LSP AGL","1",4,12,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,61,82,813.2,504.26,308.94,37,40.8233333333333,14.5666666666667,26.2566666666667,35.5,21,12.5,9,9.5
"6162",231,"PI 379368 LSP AGL","1",4,11,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,61,82,729.3,384.46,344.84,26,29.6333333333333,11.7766666666667,17.8566666666667,31,17,16,12,9.5
"6163",155,"PI 250156 LSP AGL","1",4,10,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,42,58,74,719.7,355.34,364.36,49,16.83,7.78666666666667,9.04333333333333,25,17.5,15.5,11.5,10
"6164",178,"PI 298645 AGL","1",4,9,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,48,63,80,NA,NA,311.22,55,17.6233333333333,6.05666666666667,11.5666666666667,36,19.5,15.5,12,14.5
"6167",216,"PI 339285 AGL","1",4,6,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,59,78,730.5,462.93,267.57,31,22.9233333333333,10.8,12.1233333333333,34.5,17,15.5,12,11.5
"6169",217,"PI 339289 LSP AGL","1",4,4,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,8,39,61,77,699.4,524.81,174.59,43,20.77,5.66,15.11,33.5,21,11,8.5,12
"6170",133,"PI 177430 LSP AGL","1",4,3,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,45,59,80,926.8,688.22,238.58,42,21.8266666666667,5.58,16.2466666666667,33.5,21,14.5,11.5,7
"6171",137,"PI 179324 LSP AGL","1",4,2,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,58,80,743.3,462.57,280.73,45,21.205,7.97,13.235,29,16.5,13.5,9.5,8.5
"6172",80,"ILL 4671 AGL","1",4,1,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,46,61,80,727.4,472.46,254.94,43,16.3466666666667,3.53333333333333,12.8133333333333,38,23,13.5,9.5,12
"6173",28,"CN 105715 AGL","1",5,1,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,37,56,75,639.3,326.95,312.35,48,16.99,7.54,9.45,32,16,12,9.5,6
"6176",318,"PI 643452 AGL","1",5,4,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,39,56,75,693.9,462.84,231.06,50,19.2433333333333,5.26666666666667,13.9766666666667,30.5,11,12,9,5.5
"6177",140,"PI 181886 LSP AGL","1",5,5,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,44,59,79,775.6,425.87,349.73,55,30.3533333333333,10.8633333333333,19.49,34.5,15,14.5,9.5,9
"6178",77,"ILL 4605 AGL","1",5,6,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,8,44,59,78,1025,493.02,531.98,47,24.45,12.035,12.415,32.5,19.5,14.5,10,11
"6179",121,"ILL 9932 AGL","1",5,7,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,38,56,75,584.8,315.91,268.89,43,14.0866666666667,6.58333333333333,7.50333333333333,30,12,13,9.5,6.5
"6182",146,"PI 207492 LSP AGL","1",5,10,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,59,76,845.3,429.78,415.52,39,21.9566666666667,8.28666666666667,13.67,31,14.5,14.5,11,9.5
"6183",66,"PI 431893 LSP AGL","1",5,11,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,61,77,737.9,408.93,328.97,42,35.9233333333333,15.7433333333333,20.18,37.5,22.5,16,13,14
"6186",91,"ILL 5639 AGL","1",5,14,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,59,80,652.2,311.24,340.96,37,25.71,10.29,15.42,37,18.5,14,10,10
"6188",70,"ILL 3025 AGL","1",5,16,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,11,41,57,73,717.5,379.96,337.54,32,21.24,9.70666666666667,11.5333333333333,26.5,14,12.5,9.5,6.5
"6189",131,"PI 169534 LSP AGL","1",5,17,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,64,82,916.4,537.66,378.74,44,22.2133333333333,9.82666666666667,12.3866666666667,40.5,24,16,11.5,12
"6190",218,"PI 339292 LSP AGL","1",5,18,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,59,75,675.6,410.27,265.33,44,15.155,6.51,8.645,30.5,15.5,13.5,9.5,10.5
"6191",175,"PI 298357 LSP AGL","1",6,18,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,61,78,660.9,446.92,213.98,56,23.81,7.43666666666667,16.3733333333333,36,21,14,10.5,11.5
"6192",305,"PI 472590 LSP AGL","1",6,17,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,44,59,76,643.8,415.21,228.59,41,19.22,6.29,12.93,32,16,13.5,10,8
"6194",300,"PI 472488 LSP AGL","1",6,15,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,41,57,73,661.3,343.55,317.75,33,18.3766666666667,7.94333333333333,10.4333333333333,31,15,15.5,11,7.5
"6195",170,"PI 297783 AGL","1",6,14,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,39,56,71,357.9,187.66,170.24,45,17.1566666666667,6.8,10.3566666666667,27.5,15.5,13.5,11,7.5
"6197",26,"CN 105604 AGL","1",6,12,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,58,73,769.3,428.14,341.16,40,29.2433333333333,10.8466666666667,18.3966666666667,29.5,17.5,15.5,11.5,9
"6199",324,"W6 27767 LSP AGL","1",6,10,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,44,59,75,559.4,419.98,139.42,44,24.7766666666667,11.29,13.4866666666667,30.5,15,13,10,11
"6200",290,"PI 458503 LSP AGL","1",6,9,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,46,59,82,701.3,414.35,286.95,48,20.2466666666667,5.48666666666667,14.76,29,19.5,15,10,16
"6201",255,"PI 431717 LSP AGL","1",6,8,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,45,58,77,761.8,495.84,265.96,32,30.26,10.6433333333333,19.6166666666667,30,23,15.5,11.5,11
"6203",103,"ILL 7089 AGL","1",6,6,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,8,42,58,82,794.3,457.72,336.58,36,30.5333333333333,12.6533333333333,17.88,41,25,16,11.5,11
"6204",42,"Crimson AGL","1",6,5,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,46,60,80,956.2,510.2,446,38,29.1933333333333,10.7833333333333,18.41,46,24,12.5,9,13.5
"6205",283,"PI 432201 LSP AGL","1",6,4,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,46,60,78,1114.2,NA,NA,54,30.375,10.04,20.335,46,29.5,14,8.5,13.5
"6208",267,"PI 431923 LSP AGL","1",6,1,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,46,58,82,903.3,603.54,299.76,42,23.7366666666667,7.94,15.7966666666667,43,21.5,15.5,11.5,12
"6209",235,"PI 420925 LSP AGL","1",7,1,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,44,57,73,541.4,392.26,149.14,40,16.1566666666667,3.41333333333333,12.7433333333333,29.5,13,15,10.5,7
"6210",154,"PI 244046 AGL","1",7,2,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,37,56,73,371.5,193.48,178.02,33,17.6133333333333,8.01666666666667,9.59666666666667,28,12.5,13.5,10.5,4.5
"6211",125,"ILWL 118 AGL","1",7,3,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,57,75,818.7,457.9,360.8,36,17.8166666666667,7.53666666666667,10.28,32,18,16.5,12.5,7.5
"6212",51,"IG 858 AGL","1",7,4,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,45,60,75,799.4,404.72,394.68,42,11.78,5.41333333333333,6.36666666666667,34.5,18,14.5,10.5,10
"6215",48,"IG 1959 AGL","1",7,7,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,44,59,76,665.4,346.16,319.24,28,13.08,6.59,6.49,29,19.5,13.5,10,10
"6216",220,"PI 343026 LSP AGL","1",7,8,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,44,60,78,731.4,469.61,261.79,36,20.6233333333333,7.795,12.8283333333333,37,24,14,10,9.5
"6218",298,"PI 472380 LSP AGL","1",7,10,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,40,57,75,556.6,306.15,250.45,48,13.1966666666667,5.25333333333333,7.94333333333333,30,14,11,8.5,9
"6220",240,"PI 426797 LSP AGL","1",7,12,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,11,44,58,76,574,320.35,253.65,33,31.9766666666667,12.2433333333333,19.7333333333333,28,16.5,16,12,8
"6222",109,"ILL 7946 AGL","1",7,14,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,44,57,76,690.9,355.68,335.22,57,15.19,6.58333333333333,8.60666666666667,33,16,14.5,10.5,9
"6223",114,"ILL 8010 AGL","1",7,15,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,42,58,76,508.7,313.76,194.94,24,27.7066666666667,10.7366666666667,16.97,29,15,15.5,11.5,5.5
"6224",59,"ILL 11558 AGL","1",7,16,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,39,58,78,685.3,448.42,236.88,36,26.51,10.5766666666667,15.9333333333333,31,15,13.5,11,9
"6225",208,"PI 320946 LSP AGL","1",7,17,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,44,58,77,761.8,387.5,374.3,36,25.8533333333333,11.37,14.4833333333333,34,17,15,10.5,11
"6227",241,"PI 426807 LSP AGL","1",8,18,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,42,56,75,631.4,328.63,302.77,45,14.4433333333333,6.92666666666667,7.51666666666667,31,17,15,10.5,6
"6228",262,"PI 431824 LSP AGL","1",8,17,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,58,82,NA,NA,339.32,57,27.3166666666667,8.39666666666667,18.92,37,21.5,15,11,9
"6231",108,"ILL 7747 AGL","1",8,14,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,45,59,75,619.7,353.71,265.99,58,20.8933333333333,9.18,11.7133333333333,30,16,14.5,11,9.5
"6232",284,"PI 432212 LSP AGL","1",8,13,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,44,58,75,812,388.97,423.03,51,13.2266666666667,6.82,6.40666666666667,30,20,16,12.5,14
"6235",89,"ILL 5209 AGL","1",8,10,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,44,58,77,703.5,375.56,327.94,50,24.6466666666667,10.5233333333333,14.1233333333333,37,17,17.5,12.5,10
"6236",303,"PI 472569 LSP AGL","1",8,9,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,41,58,75,NA,NA,307.5,52,20.2033333333333,5.79333333333333,14.41,32.5,22.5,15,12,7.5
"6237",43,"DPL 62 AGL","1",8,8,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,57,78,561.3,339.12,222.18,37,15.6833333333333,6.24,9.44333333333333,32.5,14.5,14.5,10.5,8
"6238",310,"PI 490289 LSP AGL","1",8,7,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,46,59,78,998.9,511.83,487.07,51,31.6633333333333,13.6266666666667,18.0366666666667,32.5,21,16,12,15
"6239",315,"PI 533693 LSP AGL","1",8,6,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,49,66,82,965.5,568.4,397.1,35,38.445,12.4233333333333,26.0216666666667,36.5,22,14.5,10.5,14
"6240",302,"PI 472561 LSP AGL","1",8,5,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,41,59,75,395.8,258.33,137.47,34,21.9233333333333,7.51333333333333,14.41,38,16,14.5,11,10.5
"6241",322,"W6 27763 LSP AGL","1",8,4,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,58,73,601.4,353.04,248.36,38,14.9533333333333,5.04666666666667,9.90666666666667,33.5,16,13.5,9.5,11.5
"6242",230,"PI 374121 AGL","1",8,3,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,8,45,60,80,NA,NA,413.18,59,34.0333333333333,11.67,22.3633333333333,35,18.5,16.5,12.5,14
"6243",82,"ILL 4782 AGL","1",8,2,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,8,38,56,72,569.2,302.02,267.18,54,12.87,5.65666666666667,7.21333333333333,28.5,12,13.5,10.5,5.5
"6244",297,"PI 472327 LSP AGL","1",8,1,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,39,56,71,692.9,417.89,275.01,65,19.3633333333333,5.87666666666667,13.4866666666667,30,16.5,11.5,8.5,9
"6245",111,"ILL 7979 AGL","1",9,1,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,57,73,614.1,381.62,232.48,46,17.3366666666667,6.70666666666667,10.63,26,18.5,17,12.5,10.5
"6246",198,"PI 302398 LSP AGL","1",9,2,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,42,57,76,678.2,387.82,290.38,42,26.1866666666667,10.2566666666667,15.93,30,11.5,16,11.5,6.5
"6247",99,"ILL 6211 AGL","1",9,3,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,45,59,80,NA,NA,378.84,54,33.23,12.23,21,40.5,24.5,14,10,14.5
"6250",249,"PI 431663 LSP AGL","1",9,6,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,8,44,59,78,657.5,395.06,262.44,40,13.65,5.02666666666667,8.62333333333333,33,15.5,15.5,11.5,10
"6252",72,"ILL 3347 AGL","1",9,8,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,11,43,58,75,519.4,320.37,199.03,NA,21.3233333333333,7.90666666666667,13.4166666666667,31.5,13,15,12,6.5
"6253",265,"PI 431884 LSP AGL","1",9,9,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,58,79,843.5,542.13,301.37,49,24.01,9.38333333333333,14.6266666666667,43,20.5,14,10,13.5
"6255",47,"IG 1706 AGL","1",9,11,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,42,60,82,780.6,601.03,179.57,50,33.3766666666667,6.63,26.7466666666667,36,19,14,10,10.5
"6256",105,"ILL 7663 AGL","1",9,12,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,39,56,75,508.9,299.59,209.31,53,15.2766666666667,5.05,10.2266666666667,32.5,15,13,10,8.5
"6257",311,"PI 508090 AGL","1",9,13,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,9,44,59,82,1027.2,497.24,529.96,47,44.0566666666667,17.3966666666667,26.66,42,27.5,16.5,12,16.5
"6258",317,"PI 643451 AGL","1",9,14,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,42,57,75,665.2,392.53,272.67,49,12.8666666666667,5.27,7.59666666666667,28.5,13,14,10,7.5
"6259",236,"PI 420929 LSP AGL","1",9,15,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,11,45,61,80,544,NA,NA,53,22.485,10.855,11.63,33,15.5,16,11,11.5
"6262",182,"PI 299116 LSP AGL","1",9,18,"Rosthern 2017","Rosthern, Canada",2017,2017-05-19,10,43,58,80,816.7,394.55,422.15,47,34.0833333333333,14.9733333333333,19.11,33,20,15.5,11,12
